ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,27956508672.0,192.96,12.141377,24.12,,0.14,0.347,0.13284001,49.077,1.4,3.0713959081301683,True
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,13159901184.0,25.24,8.676998,23.370369,,0.034,0.606,0.04464,24.587,1.473,0.05359402637569133,False
ABT,Abbott Laboratories,Healthcare,Medical Devices,176531210240.0,101.59,16.63125,27.30914,,0.044,-0.809,0.12961,26.787,0.782,-0.07938873113560718,False
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,32668753920.0,24.585,9.022249,,,0.184,-0.303,-0.00471,87.223,1.215,0.7989227836520723,False
KKR,KKR & Co. Inc.,Financial Services,Asset Management,84786241536.0,91.55,11.804236,39.123936,,0.763,-0.022,0.08558,68.611,1.927,0.8618211326106149,False
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,27155652608.0,139.06,21.141836,24.396492,,0.058,0.0,0.10496,146.987,0.734,0.014154637598121855,False
DOW,Dow Inc.,Basic Materials,Chemicals,27676489728.0,38.4599,31.578865,,,-0.091,,-0.13818,111.871,0.495,-0.20036556739572475,False
ADI,"Analog Devices, Inc.",Technology,Semiconductors,170947133440.0,350.155,26.821505,63.896896,,0.304,1.167,0.07862,25.753,1.053,1.3621315679264239,False
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,12998660096.0,92.395,14.761825,,,0.313,,-0.36355,600.584,0.544,0.18621121035722243,False
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,10181928960.0,91.07,15.177802,44.20874,,0.059,0.125,0.03216,46.869,1.129,-0.3091102270575923,False
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,8522734592.0,45.265,8.967397,,,-0.027,-0.125,-0.18172,61.772,0.499,0.05096441836450949,False
